parking_id,parking_name,longitude,latitude,start_cracks
1,Carrick Little car park,-5.9417,54.1346,7
2,Donard Forest Car Park,-5.9006,54.2034,4
4,Dunnywater Gates car park,-5.9235,54.1321,1
6,Silvenaman Road,-6.0402,54.1837,2
7,Sandbank Road - Rocky River,-6.1119,54.1841,1
8,Kilkeen/Hilltown Road car park,-6.0571,54.1445,1
9,Sandbank Road / Leitrim River,-6.1269,54.1651,1
10,Rockpool car park,-5.8915,54.2032,1
